experiment,check,metric,expected,left_value,right_value,direction,axiom_respected,diagnostic_status
axiom2_clean_two_models,A2_M1_ge_M2,pm4py_fitness_token_based_replay,M1_exact_log_language >= M2_larger_language,"{'perc_fit_traces': 28.571428571428573, 'average_trace_fitness': 0.8469387755102041, 'log_fitness': 0.8333333333333334, 'percentage_of_fitting_traces': 28.571428571428573}","{'perc_fit_traces': 28.571428571428573, 'average_trace_fitness': 0.8142857142857143, 'log_fitness': 0.8333333333333334, 'percentage_of_fitting_traces': 28.571428571428573}",non_increasing,,not_applicable_fitness_metric
axiom2_clean_two_models,A2_M1_ge_M2,pm4py_precision_alignments,M1_exact_log_language >= M2_larger_language,1.0,0.7704918032786885,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,pm4py_precision_footprints,M1_exact_log_language >= M2_larger_language,1.0,0.6666666666666666,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,pm4py_precision_token_based_replay,M1_exact_log_language >= M2_larger_language,1.0,1.0,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,stochastic_emd_power_law_prior,M1_exact_log_language >= M2_larger_language,0.7210714170130332,0.7965598595020201,non_increasing,False,fail
axiom2_clean_two_models,A2_M1_ge_M2,stochastic_emd_uniform,M1_exact_log_language >= M2_larger_language,0.973015873015873,0.8667517006802721,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,stochastic_js_power_law_prior,M1_exact_log_language >= M2_larger_language,0.6582381252849601,0.45951049288657453,non_increasing,True,pass
axiom2_clean_two_models,A2_M1_ge_M2,stochastic_js_uniform,M1_exact_log_language >= M2_larger_language,0.9930501020672388,0.5774141269651634,non_increasing,True,pass
axiom2_decoy_stress,A2_decoy_M1_ge_M2,LMP_geometric_lambda_0.7,M1_exact_language_with_decoys >= M2_clean_larger_language,1.0,0.8695652173913043,non_increasing,True,pass
axiom2_decoy_stress,A2_decoy_M1_ge_M2,LMP_power_law_alpha_2.0,M1_exact_language_with_decoys >= M2_clean_larger_language,1.0,0.8704663212435233,non_increasing,True,pass
axiom2_decoy_stress,A2_decoy_M1_ge_M2,pm4py_fitness_alignments,M1_exact_language_with_decoys >= M2_clean_larger_language,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}",non_increasing,,not_applicable_fitness_metric
axiom2_decoy_stress,A2_decoy_M1_ge_M2,pm4py_fitness_token_based_replay,M1_exact_language_with_decoys >= M2_clean_larger_language,"{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}","{'perc_fit_traces': 50.0, 'average_trace_fitness': 0.9, 'log_fitness': 0.9, 'percentage_of_fitting_traces': 50.0}",non_increasing,,not_applicable_fitness_metric
axiom2_decoy_stress,A2_decoy_M1_ge_M2,pm4py_precision_alignments,M1_exact_language_with_decoys >= M2_clean_larger_language,0.3125,0.7142857142857143,non_increasing,False,fail
axiom2_decoy_stress,A2_decoy_M1_ge_M2,pm4py_precision_footprints,M1_exact_language_with_decoys >= M2_clean_larger_language,0.3125,0.5,non_increasing,False,fail
axiom2_decoy_stress,A2_decoy_M1_ge_M2,pm4py_precision_token_based_replay,M1_exact_language_with_decoys >= M2_clean_larger_language,0.3125,1.0,non_increasing,False,fail
axiom2_decoy_stress,A2_decoy_M1_ge_M2,stochastic_emd_power_law_prior,M1_exact_language_with_decoys >= M2_clean_larger_language,1.0,0.9697754749568221,non_increasing,True,pass
axiom2_decoy_stress,A2_decoy_M1_ge_M2,stochastic_emd_uniform,M1_exact_language_with_decoys >= M2_clean_larger_language,1.0,0.86,non_increasing,True,pass
axiom2_decoy_stress,A2_decoy_M1_ge_M2,stochastic_js_power_law_prior,M1_exact_language_with_decoys >= M2_clean_larger_language,1.0,0.9319951541106153,non_increasing,True,pass
axiom2_decoy_stress,A2_decoy_M1_ge_M2,stochastic_js_uniform,M1_exact_language_with_decoys >= M2_clean_larger_language,1.0,0.6041843979966417,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,LMP_geometric_lambda_0.7,M_constrained_abc >= M_flower_abcd,1.0,0.0021158211606790364,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,LMP_power_law_alpha_2.0,M_constrained_abc >= M_flower_abcd,1.0,0.0006859756097560975,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,pm4py_fitness_alignments,M_constrained_abc >= M_flower_abcd,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}",non_increasing,,not_applicable_fitness_metric
axiom3_flower,A3_constrained_gt_flower,pm4py_fitness_token_based_replay,M_constrained_abc >= M_flower_abcd,"{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}","{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}",non_increasing,,not_applicable_fitness_metric
axiom3_flower,A3_constrained_gt_flower,pm4py_precision_alignments,M_constrained_abc >= M_flower_abcd,1.0,0.25,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,pm4py_precision_footprints,M_constrained_abc >= M_flower_abcd,1.0,0.125,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,pm4py_precision_token_based_replay,M_constrained_abc >= M_flower_abcd,1.0,0.25,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,stochastic_emd_power_law_prior,M_constrained_abc >= M_flower_abcd,1.0,0.08064024390244062,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,stochastic_emd_uniform,M_constrained_abc >= M_flower_abcd,1.0,0.2823529411764707,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,stochastic_js_power_law_prior,M_constrained_abc >= M_flower_abcd,1.0,0.004099645719277012,non_increasing,True,pass
axiom3_flower,A3_constrained_gt_flower,stochastic_js_uniform,M_constrained_abc >= M_flower_abcd,1.0,0.04623846666279907,non_increasing,True,pass
axiom4_equivalent,A4_direct_eq_silent,LMP_geometric_lambda_0.7,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,LMP_power_law_alpha_2.0,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,pm4py_fitness_alignments,M_direct_choice == M_silent_routing,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 0.9999833336111065}",equality,,not_applicable_fitness_metric
axiom4_equivalent,A4_direct_eq_silent,pm4py_fitness_token_based_replay,M_direct_choice == M_silent_routing,"{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}","{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}",equality,,not_applicable_fitness_metric
axiom4_equivalent,A4_direct_eq_silent,pm4py_precision_alignments,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,pm4py_precision_footprints,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,pm4py_precision_token_based_replay,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,stochastic_emd_power_law_prior,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,stochastic_emd_uniform,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,stochastic_js_power_law_prior,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_equivalent,A4_direct_eq_silent,stochastic_js_uniform,M_direct_choice == M_silent_routing,1.0,1.0,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,LMP_geometric_lambda_0.7,M_direct_complex_choices == M_silent_optional_routing,0.887199046219887,0.887199046219887,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,LMP_power_law_alpha_2.0,M_direct_complex_choices == M_silent_optional_routing,0.8876531794560508,0.8876531794560508,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,pm4py_fitness_alignments,M_direct_complex_choices == M_silent_optional_routing,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 0.999981481892995}",equality,,not_applicable_fitness_metric
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,pm4py_fitness_token_based_replay,M_direct_complex_choices == M_silent_optional_routing,"{'perc_fit_traces': 16.666666666666668, 'average_trace_fitness': 0.815873015873016, 'log_fitness': 0.8055555555555556, 'percentage_of_fitting_traces': 16.666666666666668}","{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}",equality,,not_applicable_fitness_metric
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,pm4py_precision_alignments,M_direct_complex_choices == M_silent_optional_routing,0.896551724137931,0.896551724137931,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,pm4py_precision_footprints,M_direct_complex_choices == M_silent_optional_routing,0.9285714285714286,0.9285714285714286,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,pm4py_precision_token_based_replay,M_direct_complex_choices == M_silent_optional_routing,1.0,0.896551724137931,equality,False,fail
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,stochastic_emd_power_law_prior,M_direct_complex_choices == M_silent_optional_routing,0.8324734650504255,0.8324734650504255,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,stochastic_emd_uniform,M_direct_complex_choices == M_silent_optional_routing,0.9130952380952381,0.9130952380952381,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,stochastic_js_power_law_prior,M_direct_complex_choices == M_silent_optional_routing,0.6557938058829562,0.6557938058829562,equality,True,pass
axiom4_complex_silent_routing,A4_complex_direct_eq_silent,stochastic_js_uniform,M_direct_complex_choices == M_silent_optional_routing,0.6887218755408673,0.6887218755408673,equality,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,LMP_geometric_lambda_0.7,L1_one_variant <= L2_two_variants,0.33333333333333337,0.6666666666666667,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,LMP_geometric_lambda_0.7,L2_two_variants <= L3_three_variants,0.6666666666666667,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,LMP_power_law_alpha_2.0,L1_one_variant <= L2_two_variants,0.3333333333333333,0.6666666666666666,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,LMP_power_law_alpha_2.0,L2_two_variants <= L3_three_variants,0.6666666666666666,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_fitness_alignments,L1_one_variant <= L2_two_variants,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}",non_decreasing,,not_applicable_fitness_metric
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_fitness_alignments,L2_two_variants <= L3_three_variants,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}",non_decreasing,,not_applicable_fitness_metric
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_fitness_token_based_replay,L1_one_variant <= L2_two_variants,"{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}","{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}",non_decreasing,,not_applicable_fitness_metric
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_fitness_token_based_replay,L2_two_variants <= L3_three_variants,"{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}","{'perc_fit_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0, 'percentage_of_fitting_traces': 100.0}",non_decreasing,,not_applicable_fitness_metric
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_precision_alignments,L1_one_variant <= L2_two_variants,0.6,0.8,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_precision_alignments,L2_two_variants <= L3_three_variants,0.8,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_precision_footprints,L1_one_variant <= L2_two_variants,0.3333333333333333,0.6666666666666666,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_precision_footprints,L2_two_variants <= L3_three_variants,0.6666666666666666,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_precision_token_based_replay,L1_one_variant <= L2_two_variants,0.6,0.8,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,pm4py_precision_token_based_replay,L2_two_variants <= L3_three_variants,0.8,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_emd_power_law_prior,L1_one_variant <= L2_two_variants,0.7777777777777778,0.8888888888888888,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_emd_power_law_prior,L2_two_variants <= L3_three_variants,0.8888888888888888,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_emd_uniform,L1_one_variant <= L2_two_variants,0.7777777777777778,0.8888888888888888,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_emd_uniform,L2_two_variants <= L3_three_variants,0.8888888888888888,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_js_power_law_prior,L1_one_variant <= L2_two_variants,0.5408520829727552,0.8091254953788904,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_js_power_law_prior,L2_two_variants <= L3_three_variants,0.8091254953788904,1.0,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_js_uniform,L1_one_variant <= L2_two_variants,0.5408520829727552,0.8091254953788904,non_decreasing,True,pass
axiom5_log_extension,A5_L1_le_L2_le_L3,stochastic_js_uniform,L2_two_variants <= L3_three_variants,0.8091254953788904,1.0,non_decreasing,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,LMP_geometric_lambda_0.7,M_direct_equal_branches == M_tau_unequal_simulation,1.0,1.0,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,LMP_power_law_alpha_2.0,M_direct_equal_branches == M_tau_unequal_simulation,1.0,1.0,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,pm4py_fitness_alignments,M_direct_equal_branches == M_tau_unequal_simulation,"{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 1.0}","{'percFitTraces': 100.0, 'averageFitness': 1.0, 'percentage_of_fitting_traces': 100.0, 'average_trace_fitness': 1.0, 'log_fitness': 0.9999833337036955}",equality,,not_applicable_fitness_metric
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,pm4py_fitness_token_based_replay,M_direct_equal_branches == M_tau_unequal_simulation,"{'perc_fit_traces': 25.0, 'average_trace_fitness': 0.8166666666666667, 'log_fitness': 0.8333333333333334, 'percentage_of_fitting_traces': 25.0}","{'perc_fit_traces': 75.0, 'average_trace_fitness': 0.9642857142857142, 'log_fitness': 0.9666666666666667, 'percentage_of_fitting_traces': 75.0}",equality,,not_applicable_fitness_metric
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,pm4py_precision_alignments,M_direct_equal_branches == M_tau_unequal_simulation,1.0,1.0,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,pm4py_precision_footprints,M_direct_equal_branches == M_tau_unequal_simulation,1.0,1.0,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,pm4py_precision_token_based_replay,M_direct_equal_branches == M_tau_unequal_simulation,1.0,1.0,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,stochastic_emd_power_law_prior,M_direct_equal_branches == M_tau_unequal_simulation,0.852365229153507,0.852365229153507,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,stochastic_emd_simulation_uniform_enabled,M_direct_equal_branches == M_tau_unequal_simulation,0.998905,0.9699833333333333,equality,False,fail
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,stochastic_emd_uniform,M_direct_equal_branches == M_tau_unequal_simulation,1.0,1.0,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,stochastic_js_power_law_prior,M_direct_equal_branches == M_tau_unequal_simulation,0.7161251541321021,0.7161251541321021,equality,True,pass
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,stochastic_js_simulation_uniform_enabled,M_direct_equal_branches == M_tau_unequal_simulation,0.9999518006748793,0.9806551507325592,equality,False,fail
axiom4_stochastic_semantics,A4_stochastic_language_equivalence,stochastic_js_uniform,M_direct_equal_branches == M_tau_unequal_simulation,1.0,1.0,equality,True,pass
